label,address,latitude,longitude,X,Y,Cover radius,Bus_Nums,Subway_Nums,Park_Nums,Traffic_score,rent_avg,Clust_Num
0,前卫街道   ,25.01498272898801,102.7134256020977,269250.80656844034,2768554.4508214174,270.5549851694835,16,0,23,0.05,5.234999999999999,5
1,金碧街道   ,25.02425880890148,102.69206446236193,267111.91767955146,2769618.6998176235,490.40169979348343,21,0,10,0.03488372093023255,5.5988282290279585,9
2,金碧街道  滇池路 ,25.02462573447721,102.69752000781506,267663.30656844034,2769649.972957204,195.25624189746753,16,0,16,0.023076923076923078,5.5988282290279585,4
3,太和街道   ,25.029438249035202,102.7181112016624,269750.80656844034,2770147.9375643805,264.5751311065031,42,2,28,0.7506261180679785,2.455,6
4,大观街道  西昌路 ,25.032871480652627,102.6974403556143,267670.80656844034,2770563.629758197,330.4542328370371,25,0,35,0.15894454382826478,2.4133333333333336,5
5,吴井街道  朝阳路 ,25.03907389911004,102.73477636312174,271450.80656844034,2771187.168048922,400.0000000000517,31,2,39,0.7161896243291592,5.5988282290279585,7
6,大观街道  新闻路 ,25.039885491273445,102.69438652434366,267375.80656844034,2771345.9393729493,202.07259421625494,34,0,28,0.19481216457960643,2.8325,6
7,棕树营街道   ,25.043877358572185,102.67883035783424,265813.30656844034,2771815.0364666656,313.2491021535258,29,1,24,0.39454382826475853,5.5988282290279585,4
8,西苑街道   ,25.04560796766669,102.67203538482464,265130.80656844034,2772018.552436555,177.76388834626252,19,1,27,0.3363148479427549,5.5988282290279585,5
9,护国街道  如意巷 ,25.046125878748096,102.71037093386921,269000.80656844034,2772009.8921825173,363.1459761580037,27,1,62,0.5267441860465116,5.5988282290279585,4
10,大观街道  人民西路 ,25.047173165175526,102.68966752398016,266913.30656844034,2772161.4466281794,174.99999999991775,23,1,23,0.34883720930232553,5.5988282290279585,4
11,华山街道   ,25.049103119843714,102.70429963320939,268393.66371129744,2772350.1164482897,360.5551275463956,59,1,53,0.7153846153846155,5.5988282290279585,7
12,东华街道  新迎路 ,25.04812528845436,102.7388211936866,271875.80656844034,2772183.097263274,229.12878474779342,36,1,39,0.5010733452593917,3.2875,4
13,鼓楼街道   ,25.054442818520208,102.7174500259166,269730.80656844034,2772919.2188564907,280.0000000000185,31,1,30,0.43157423971377457,5.5988282290279585,5
14,丰宁街道  滇缅大道 ,25.055858420874074,102.68769622198711,266730.8065684404,2773127.064953399,559.9999999999247,47,1,20,0.5047406082289803,2.358333333333333,10
15,华山街道  北门街 ,25.055427186800557,102.70524347492658,268500.80656844034,2773049.1226670584,363.14597615839233,38,1,28,0.4727191413237925,4.432,4
16,丰宁街道  滇缅大道 ,25.05725127121615,102.68010603541018,265967.47323510697,2773294.496531464,328.29526005978283,23,1,19,0.33345259391771015,1.8733333333333333,6
17,华山街道  莲花池正街 ,25.062368468805186,102.69916830368209,267900.80656844034,2773828.5455304645,156.12494995996204,37,0,22,0.19266547406082288,5.5988282290279585,4
18,联盟街道   ,25.06622142719956,102.73365773214263,271388.30656844034,2774196.606327073,487.98053239883444,29,1,35,0.4368515205724508,8.707619047619048,8
19,联盟街道  金江路 ,25.07053722192948,102.72706212308431,270730.80656844034,2774685.910680211,351.56791662472517,23,1,46,0.437298747763864,2.5687500000000005,5
